2024-27-20 02-27-04 [background-preinit] INFO   - HV000001: Hibernate Validator 8.0.1.Final
2024-27-20 02-27-04 [restartedMain] INFO   - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-27-20 02-27-04 [restartedMain] INFO   - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-27-20 02-27-06 [restartedMain] INFO   - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2024-27-20 02-27-06 [restartedMain] INFO   - Finished Spring Data repository scanning in 191 ms. Found 1 MongoDB repository interface.
2024-27-20 02-27-07 [restartedMain] INFO   - BeanFactory id=dca76f8e-5e18-380f-878b-ea127d26c54f
2024-27-20 02-27-07 [restartedMain] WARN   - Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [lbRestClientPostProcessor] is declared through a non-static factory method on that class; consider declaring it as static instead.
2024-27-20 02-27-07 [restartedMain] WARN   - Bean 'deferringLoadBalancerInterceptor' of type [org.springframework.cloud.client.loadbalancer.DeferringLoadBalancerInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2024-27-20 02-27-08 [restartedMain] INFO   - Tomcat initialized with port 10003 (http)
2024-27-20 02-27-08 [restartedMain] INFO   - Initializing ProtocolHandler ["http-nio-10003"]
2024-27-20 02-27-08 [restartedMain] INFO   - Starting service [Tomcat]
2024-27-20 02-27-08 [restartedMain] INFO   - Starting Servlet engine: [Apache Tomcat/10.1.25]
2024-27-20 02-27-08 [restartedMain] INFO   - Initializing Spring embedded WebApplicationContext
2024-27-20 02-27-08 [restartedMain] INFO   - Root WebApplicationContext: initialization completed in 3594 ms
2024-27-20 02-27-08 [restartedMain] INFO   - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.8+9-LTS-211"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@10ef10b7, com.mongodb.Jep395RecordCodecProvider@257ccb20, com.mongodb.KotlinCodecProvider@395fb3b8]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
2024-27-20 02-27-09 [cluster-ClusterId{value='676488a46243146ca607a303', description='null'}-localhost:27017] INFO   - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=407825100}
2024-27-20 02-27-09 [restartedMain] INFO   - LiveReload server is running on port 35729
2024-27-20 02-27-10 [restartedMain] INFO   - Eureka HTTP Client uses RestTemplate.
2024-27-20 02-27-10 [restartedMain] WARN   - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2024-27-20 02-27-11 [restartedMain] INFO   - Setting initial instance status as: STARTING
2024-27-20 02-27-11 [restartedMain] INFO   - Initializing Eureka in region us-east-1
2024-27-20 02-27-11 [restartedMain] INFO   - Resolving eureka endpoints via configuration
2024-27-20 02-27-11 [restartedMain] INFO   - Disable delta property : false
2024-27-20 02-27-11 [restartedMain] INFO   - Single vip registry refresh property : null
2024-27-20 02-27-11 [restartedMain] INFO   - Force full registry fetch : false
2024-27-20 02-27-11 [restartedMain] INFO   - Application is null : false
2024-27-20 02-27-11 [restartedMain] INFO   - Registered Applications size is zero : true
2024-27-20 02-27-11 [restartedMain] INFO   - Application version is -1: true
2024-27-20 02-27-11 [restartedMain] INFO   - Getting all instance registry info from the eureka server
2024-27-20 02-27-12 [restartedMain] INFO   - The response status is 200
2024-27-20 02-27-12 [restartedMain] INFO   - Starting heartbeat executor: renew interval is: 30
2024-27-20 02-27-12 [restartedMain] INFO   - InstanceInfoReplicator onDemand update allowed rate per min is 4
2024-27-20 02-27-12 [restartedMain] INFO   - Discovery Client initialized at timestamp 1734641832168 with initial instances count: 1
2024-27-20 02-27-12 [restartedMain] INFO   - Registering application USER-SERVICE with eureka with status UP
2024-27-20 02-27-12 [restartedMain] INFO   - Saw local status change event StatusChangeEvent [timestamp=1734641832174, current=UP, previous=STARTING]
2024-27-20 02-27-12 [restartedMain] INFO   - Starting ProtocolHandler ["http-nio-10003"]
2024-27-20 02-27-12 [DiscoveryClient-InstanceInfoReplicator-0] INFO   - DiscoveryClient_USER-SERVICE/DESKTOP-KV6H9CF:user-service:10003: registering service...
2024-27-20 02-27-12 [restartedMain] INFO   - Tomcat started on port 10003 (http) with context path '/'
2024-27-20 02-27-12 [restartedMain] INFO   - Updating port to 10003
2024-27-20 02-27-12 [DiscoveryClient-InstanceInfoReplicator-0] INFO   - DiscoveryClient_USER-SERVICE/DESKTOP-KV6H9CF:user-service:10003 - registration status: 204
2024-32-20 02-32-11 [AsyncResolver-bootstrap-executor-0] INFO   - Resolving eureka endpoints via configuration
2024-33-20 02-33-25 [SpringApplicationShutdownHook] INFO   - Unregistering application USER-SERVICE with eureka with status DOWN
2024-33-20 02-33-25 [SpringApplicationShutdownHook] INFO   - Saw local status change event StatusChangeEvent [timestamp=1734642205580, current=DOWN, previous=UP]
2024-33-20 02-33-25 [DiscoveryClient-InstanceInfoReplicator-0] INFO   - DiscoveryClient_USER-SERVICE/DESKTOP-KV6H9CF:user-service:10003: registering service...
2024-33-20 02-33-25 [DiscoveryClient-InstanceInfoReplicator-0] INFO   - DiscoveryClient_USER-SERVICE/DESKTOP-KV6H9CF:user-service:10003 - registration status: 204
2024-33-20 02-33-25 [SpringApplicationShutdownHook] INFO   - Shutting down DiscoveryClient ...
2024-33-20 02-33-28 [SpringApplicationShutdownHook] INFO   - Unregistering ...
2024-33-20 02-33-28 [SpringApplicationShutdownHook] INFO   - DiscoveryClient_USER-SERVICE/DESKTOP-KV6H9CF:user-service:10003 - deregister  status: 200
2024-33-20 02-33-28 [SpringApplicationShutdownHook] INFO   - Completed shut down of DiscoveryClient
